ABL_NPS_LAB_RECORD_NO,YEAR,WATERBODY,STATION_NAME,STATION_ID,RETRIEVAL_DATE,SAMPLE_TYPE,LAB,CLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SUBGENUS,SPECIES,TAXON_ID_EXPERT,TAXON_ID_NOTES,TSN_LOOKUP,TSN_SOURCE,TSN,LARVA,PUPA,ADULT,TOTAL,TVAL,TFUNCT,EcoFTN,EcoFTN_RHEOPHILLY,EcoFTN_THERMAL,EcoFTN_HABIT,EcoFTN_TROPHIC,TAXONOMIC_REFERENCE,CONDITION,NOTES
96,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Clitellata,Tubificida,Naididae,Naidinae,Nais,NA,behningi,Nais behningi,NA,Nais behningi,ITIS,68949,0,0,7,7,NA,collector-gatherer,NA,NA,NA,NA,NA,Klemm 1985,NA,NA
97,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Clitellata,Tubificida,Naididae,Naidinae,Nais,NA,variabilis,Nais variabilis,NA,Nais variabilis,ITIS,68959,0,0,5,5,NA,collector-gatherer,NA,NA,NA,NA,NA,Klemm 1985,NA,NA
36,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Coleoptera,Elmidae,Elminae,Dubiraphia,NA,minima,Dubiraphia minima,NA,Dubiraphia minima,ITIS,114133,0,0,1,1,5,collector-gatherer,2241,2,2,4,1,Hilsenhoff and Schmude 1992,NA,NA
37,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Coleoptera,Elmidae,Elminae,Macronychus,NA,glabratus,Macronychus glabratus,NA,Macronychus glabratus,ITIS,114213,5,0,0,5,4,collector-gatherer,2241,2,2,4,1,Hilsenhoff and Schmude 1992,NA,NA
38,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Coleoptera,Elmidae,Elminae,Optioservus,NA,NA,Optioservus,NA,Optioservus,ITIS,114177,1,0,0,1,4,scraper,2241,2,2,4,1,Hilsenhoff and Schmude 1992,imm.,NA
39,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Athericidae,NA,Atherix,NA,variegata,Atherix variegata,NA,Atherix variegata,ITIS,130932,8,0,0,8,2,predator,2234,2,2,3,4,Hilsenhoff 1995,NA,NA
62,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Tanypodinae,Ablabesmyia,A. (Ablabesmyia),NA,Ablabesmyia (Ablabesmyia),NA,Ablabesmyia,ITIS,128079,3,0,0,3,8,predator,2234,2,2,3,4,"Andersen, Cranston, and Epler 2013",NA,NA
51,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Orthocladiinae,Cricotopus,NA,NA,Cricotopus,NA,Cricotopus,ITIS,128575,11,0,0,11,7,shredder,2111,2,1,1,1,"Andersen, Cranston, and Epler 2013",NA,NA
40,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,Cryptochironomus,NA,NA,Cryptochironomus,NA,Cryptochironomus,ITIS,129368,1,0,0,1,8,predator,1211,1,2,1,1,"Andersen, Cranston, and Epler 2013",NA,NA
41,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,Dicrotendipes,NA,NA,Dicrotendipes,NA,Dicrotendipes,ITIS,129428,1,0,0,1,8,collector-gatherer,1211,1,2,1,1,"Andersen, Cranston, and Epler 2013",NA,NA
52,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Orthocladiinae,Eukiefferiella,NA,NA,Eukiefferiella,NA,Eukiefferiella,ITIS,128689,1,0,0,1,8,collector-gatherer,2111,2,1,1,1,"Andersen, Cranston, and Epler 2013",imm.,NA
42,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,Glyptotendipes,NA,NA,Glyptotendipes,NA,Glyptotendipes,ITIS,129483,11,0,0,11,10,collector-gatherer,1211,1,2,1,1,"Andersen, Cranston, and Epler 2013",NA,NA
43,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,Microtendipes,NA,NA,Microtendipes rydalensis group,rydalensis group,Microtendipes,ITIS,129535,21,0,0,21,6,collector-filterer,1211,1,2,1,1,"Andersen, Cranston, and Epler 2013",NA,NA
53,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Orthocladiinae,Nanocladius,N. (Nanocladius),NA,Nanocladius (Nanocladius) crassicornus/cf. rectinervis,crassicornus/cf. rectinervis,Nanocladius,ITIS,128844,1,0,0,1,3,collector-gatherer,2111,2,1,1,1,Epler 2001,imm.,NA
54,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Orthocladiinae,Nanocladius,N. (Nanocladius),NA,Nanocladius (Nanocladius),NA,Nanocladius,ITIS,128844,1,0,0,1,3,collector-gatherer,2111,2,1,1,1,"Andersen, Cranston, and Epler 2013",mt. indet.,NA
55,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Orthocladiinae,Nanocladius,NA,NA,Nanocladius,NA,Nanocladius,ITIS,128844,2,0,0,2,3,collector-gatherer,2111,2,1,1,1,"Andersen, Cranston, and Epler 2013",imm.,NA
56,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Orthocladiinae,Parakiefferiella,NA,NA,Parakiefferiella,NA,Parakiefferiella,ITIS,128968,1,0,0,1,NA,collector-gatherer,2111,2,1,1,1,"Andersen, Cranston, and Epler 2013",NA,NA
63,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneura,NA,inconspicua,Pentaneura inconspicua,NA,Pentaneura inconspicua,ITIS,128216,1,0,0,1,6,predator,2234,2,2,3,4,Epler 2001,NA,NA
44,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,Phaenopsectra,NA,NA,Phaenopsectra punctipes group,punctipes group,Phaenopsectra,ITIS,129637,1,0,0,1,7,scraper,1211,1,2,1,1,Epler 2001,NA,NA
45,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,P. (Uresipedilum),flavum,Polypedilum (Uresipedilum) flavum,NA,Polypedilum flavum,GBIF Backbone Taxonomy,10279028,100,0,0,100,5,shredder,1211,1,2,1,1,Bolton 2012,NA,NA
46,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,P. (Uresipedilum),NA,Polypedilum (Uresipedilum),NA,Polypedilum,ITIS,129657,4,0,0,4,6,shredder,1211,1,2,1,1,"Andersen, Cranston, and Epler 2013",NA,NA
47,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,Polypedilum,NA,NA,Polypedilum,NA,Polypedilum,ITIS,129657,1,2,0,3,6,shredder,1211,1,2,1,1,"Andersen, Cranston, and Epler 2013 (larva); Merritt, Cummins, and Berg 2008 (pupa)",NA,NA
57,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Orthocladiinae,Rheocricotopus,NA,robacki,Rheocricotopus robacki,NA,Rheocricotopus robacki,ITIS,129102,2,0,0,2,6,collector-gatherer,2111,2,1,1,1,Epler 2001,NA,NA
64,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Tanypodinae,Rheopelopia,NA,NA,Rheopelopia,NA,Rheopelopia,ITIS,128226,1,0,0,1,6,predator,2234,2,2,3,4,"Andersen, Cranston, and Epler 2013",NA,NA
48,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,Rheotanytarsus,NA,NA,Rheotanytarsus,NA,Rheotanytarsus,ITIS,129952,101,1,0,102,6,collector-filterer,1211,1,2,1,1,"Andersen, Cranston, and Epler 2013 (larva); Merritt, Cummins, and Berg 2008 (pupa)",NA,NA
49,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsus,NA,NA,Tanytarsus,NA,Tanytarsus,ITIS,129978,8,0,0,8,6,collector-filterer,1211,1,2,1,1,"Andersen, Cranston, and Epler 2013",NA,NA
58,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Orthocladiinae,Thienemanniella,NA,NA,Thienemanniella,NA,Thienemanniella,ITIS,129182,4,0,0,4,6,collector-gatherer,2111,2,1,1,1,"Andersen, Cranston, and Epler 2013",NA,NA
59,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Orthocladiinae,Tvetenia,NA,NA,Tvetenia discoloripes group,discoloripes group,Tvetenia,ITIS,129197,3,0,0,3,5,collector-gatherer,2111,2,1,1,1,Bode 1983,NA,NA
67,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,NA,NA,NA,NA,Chironomidae,NA,Chironomidae,ITIS,127917,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,"Merritt, Cummins, and Berg 2008",mt. indet.,NA
65,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Tanypodinae,NA,NA,NA,Thienemannimyia group,Thienemannimyia group,Tanypodinae,ITIS,127994,8,0,0,8,6,predator,2234,2,2,3,4,"Andersen, Cranston, and Epler 2013",dam.; imm.,NA
66,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Tanypodinae,NA,NA,NA,Tanypodinae,NA,Tanypodinae,ITIS,127994,2,0,0,2,6,predator,2234,2,2,3,4,"Andersen, Cranston, and Epler 2013",imm.,NA
60,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,NA,NA,Orthocladiinae,NA,Orthocladiinae,ITIS,128457,2,0,0,2,6,collector-gatherer,2111,2,1,1,1,"Merritt, Cummins, and Berg 2008",NA,Cricotopus/Orthocladius
61,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Orthocladiinae,NA,NA,NA,Orthocladiinae,NA,Orthocladiinae,ITIS,128457,5,0,0,5,6,collector-gatherer,2111,2,1,1,1,"Andersen, Cranston, and Epler 2013",imm.,NA
50,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Chironomidae,Chironominae,NA,NA,NA,Chironominae,NA,Chironominae,ITIS,129228,32,1,0,33,6,collector-gatherer,1211,1,2,1,1,"Andersen, Cranston, and Epler 2013 (larva); Merritt, Cummins, and Berg 2008 (pupa)",mt. indet.; imm. (larva); dam. (pupa),NA
68,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Simuliidae,Simuliinae,Simulium,NA,luggeri,Simulium luggeri,NA,Simulium luggeri,ITIS,126838,10,3,0,13,5,collector-filterer,3242,3,2,4,2,"Adler, Currie, and Wood 2004",NA,NA
69,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Simuliidae,Simuliinae,Simulium,NA,NA,Simulium jenningsi species group,jenningsi species group,Simulium,ITIS,126774,75,0,0,75,6,collector-filterer,3242,3,2,4,2,"Adler, Currie, and Wood 2004",imm.,NA
70,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Simuliidae,Simuliinae,Simulium,NA,NA,Simulium,NA,Simulium,ITIS,126774,0,2,0,2,6,collector-filterer,3242,3,2,4,2,"Adler, Currie, and Wood 2004",dam.,NA
71,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Simuliidae,NA,NA,NA,NA,Simuliidae,NA,Simuliidae,ITIS,126640,2,0,0,2,6,collector-filterer,3242,3,2,4,2,"Adler, Currie, and Wood 2004",imm.,NA
72,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Ephemeroptera,Baetidae,NA,Baetis,NA,NA,Baetis flavistriga species complex,flavistriga species complex,Baetis flavistriga,ITIS,100835,1,0,0,1,4,collector-gatherer,2251,2,2,5,1,Klubertanz 2016,NA,NA
73,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Ephemeroptera,Heptageniidae,NA,Heptagenia,NA,flavescens,Heptagenia flavescens,NA,Heptagenia flavescens,ITIS,100610,3,0,0,3,4,scraper,2143,2,1,4,3,Klubertanz 2016,NA,NA
74,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Ephemeroptera,Heptageniidae,NA,Maccaffertium,NA,vicarium,Maccaffertium vicarium,NA,Maccaffertium vicarium,ITIS,698255,1,0,0,1,2,scraper,2243,2,2,4,3,Klubertanz 2016,NA,NA
75,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Ephemeroptera,Heptageniidae,NA,Maccaffertium,NA,NA,Maccaffertium,NA,Maccaffertium,ITIS,697957,5,0,0,5,4,scraper,2243,2,2,4,3,Klubertanz 2016,imm.,NA
76,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Ephemeroptera,Heptageniidae,NA,NA,NA,NA,Heptageniidae,NA,Heptageniidae,ITIS,100504,3,0,0,3,4,scraper,NA,NA,NA,NA,NA,Klubertanz 2016,dam.,NA
77,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Ephemeroptera,Isonychiidae,NA,Isonychia,NA,NA,Isonychia,NA,Isonychia,ITIS,101041,6,0,0,6,2,collector-filterer,3252,3,2,5,2,Klubertanz 2016,imm.,NA
78,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Ephemeroptera,Leptophlebiidae,NA,NA,NA,NA,Leptophlebiidae,NA,Leptophlebiidae,ITIS,101095,1,0,0,1,2,collector-gatherer,NA,NA,NA,NA,NA,Klubertanz 2016,imm.,NA
79,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Ceratopsyche,NA,alternans,Ceratopsyche alternans,NA,Ceratopsyche alternans,ITIS,115571,1,0,0,1,3,collector-filterer,3242,3,2,4,2,Schmude and Hilsenhoff 1986,NA,NA
80,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Ceratopsyche,NA,bronta,Ceratopsyche bronta,NA,Ceratopsyche bronta,ITIS,115577,1,0,0,1,5,collector-filterer,3242,3,2,4,2,Schmude and Hilsenhoff 1986,NA,NA
81,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Ceratopsyche,NA,morosa,Ceratopsyche morosa bifida form,bifida form,Ceratopsyche morosa,ITIS,115580,5,0,0,5,6,collector-filterer,3242,3,2,4,2,Schmude and Hilsenhoff 1986,NA,NA
82,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Ceratopsyche,NA,morosa,Ceratopsyche morosa morosa form,morosa form,Ceratopsyche morosa,ITIS,115580,2,0,0,2,2,collector-filterer,3242,3,2,4,2,Schmude and Hilsenhoff 1986,NA,NA
83,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Ceratopsyche,NA,NA,Ceratopsyche,NA,Ceratopsyche,ITIS,115570,1,0,0,1,4,collector-filterer,3242,3,2,4,2,Wiggins 1996,imm.,NA
84,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Cheumatopsyche,NA,NA,Cheumatopsyche,NA,Cheumatopsyche,ITIS,115408,204,0,0,204,5,collector-filterer,3242,3,2,4,2,Wiggins 1996,NA,NA
85,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Hydropsyche,NA,bidens,Hydropsyche bidens,NA,Hydropsyche bidens,ITIS,115458,2,0,0,2,3,collector-filterer,3242,3,2,4,2,Schmude and Hilsenhoff 1986,NA,NA
86,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Hydropsyche,NA,orris,Hydropsyche orris,NA,Hydropsyche orris,ITIS,115485,1,0,0,1,5,collector-filterer,3242,3,2,4,2,Schmude and Hilsenhoff 1986,NA,NA
87,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Hydropsyche,NA,phalerata,Hydropsyche phalerata,NA,Hydropsyche phalerata,ITIS,115477,5,0,0,5,1,collector-filterer,3242,3,2,4,2,Schmude and Hilsenhoff 1986,NA,NA
88,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Hydropsyche,NA,scalaris,Hydropsyche scalaris,NA,Hydropsyche scalaris,ITIS,115480,7,0,0,7,2,collector-filterer,3242,3,2,4,2,Schmude and Hilsenhoff 1986,NA,NA
89,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Hydropsyche,NA,simulans,Hydropsyche simulans,NA,Hydropsyche simulans,ITIS,115481,1,0,0,1,7,collector-filterer,3242,3,2,4,2,Schmude and Hilsenhoff 1986,NA,NA
90,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Hydropsyche,NA,NA,Hydropsyche,NA,Hydropsyche,ITIS,115453,2,0,0,2,4,collector-filterer,3242,3,2,4,2,Wiggins 1996,imm.,NA
91,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Leptoceridae,Leptocerinae,Oecetis,NA,NA,Oecetis,NA,Oecetis,ITIS,116607,1,0,0,1,8,predator,2244,2,2,4,4,Wiggins 1996,dam.,NA
92,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Philopotamidae,Chimarrinae,Chimarra,NA,obscura,Chimarra obscura,NA,Chimarra obscura,ITIS,115276,8,0,0,8,4,collector-filterer,3242,3,2,4,2,Hilsenhoff 1982,NA,NA
93,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Philopotamidae,Chimarrinae,Chimarra,NA,socia,Chimarra socia,NA,Chimarra socia,ITIS,115279,6,0,0,6,0,collector-filterer,3242,3,2,4,2,Hilsenhoff 1982,NA,NA
94,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Philopotamidae,Chimarrinae,Chimarra,NA,NA,Chimarra,NA,Chimarra,ITIS,115273,47,0,0,47,3,collector-filterer,3242,3,2,4,2,Wiggins 1996,imm.,NA
95,2016,St. Croix River,St. Croix River Just Upstream from Norway Point Boat Landing,SACN_STCR_104.0,9/13/2016,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Trichoptera,Polycentropodidae,Polycentropodinae,Neureclipsis,NA,NA,Neureclipsis,NA,Neureclipsis,ITIS,117095,1,0,0,1,7,collector-filterer,3242,3,2,4,2,Wiggins 1996,NA,NA
98,2016,St. Croix River,St. Croix River About 1 Mile Above Nevers Dam Boat Landing,SACN_STCR_63.8,9/4/2019,Hester-Dendy,University of Wisconsin-Steven's Point Aquatic Biomonitoring Lab,Insecta,Diptera,Athericidae,NA,Atherix,NA,variegata,Atherix variegata,NA,Atherix variegata,ITIS,130932,14,0,0,14,2,predator,2234,2,2,3,4,Hilsenhoff 1995,NA,NA
